time,value_temp,value_hum,value_acid,value_PV,label
2023-08-06 11:16:47+00:00,0.0,78.0,8.4,2.3,good
2023-08-06 11:23:22+00:00,22.6,4.0,7.9,2.3,error
2023-08-06 11:33:22+00:00,22.7,4.0,8.0,2.3,good
2023-08-06 11:43:22+00:00,22.6,4.0,7.9,2.3,good
2023-08-06 11:56:42+00:00,22.6,4.0,7.9,2.3,good
2023-08-06 12:06:42+00:00,22.6,4.0,7.9,2.3,good
2023-08-06 12:16:42+00:00,22.6,4.0,7.8,2.3,good
2023-08-06 12:30:02+00:00,22.6,4.0,7.8,2.3,good
2023-08-06 12:39:26+00:00,22.6,4.0,7.7,0.6,good
2023-08-06 14:19:25+00:00,22.7,4.0,7.2,0.6,error
2023-08-06 15:59:24+00:00,23.0,4.0,6.8,0.4,error
2023-08-07 10:13:08+00:00,23.2,76.0,11.4,3.6,error
2023-08-07 10:23:08+00:00,23.3,76.0,11.4,3.5,good
2023-08-07 10:33:08+00:00,23.3,76.0,11.5,3.6,good
2023-08-07 10:46:28+00:00,23.3,76.0,11.4,3.4,good
2023-08-07 10:56:28+00:00,23.3,76.0,11.5,3.3,good
2023-08-07 11:06:28+00:00,19.7,80.0,11.4,4.1,error
2023-08-07 11:19:48+00:00,20.4,80.0,11.4,4.1,good
2023-08-07 11:29:48+00:00,20.4,81.0,11.4,3.9,good
2023-08-07 11:39:47+00:00,20.3,81.0,11.4,4.1,good
2023-08-07 11:53:07+00:00,21.0,82.0,11.4,4.1,good
2023-08-07 12:03:07+00:00,20.0,84.0,11.4,4.1,good
2023-08-07 12:13:07+00:00,19.1,84.0,11.4,4.1,good
2023-08-07 12:23:07+00:00,19.5,83.0,11.4,6.1,good
2023-08-07 12:36:27+00:00,19.6,83.0,11.4,5.5,good
2023-08-07 12:46:27+00:00,19.5,84.0,11.4,6.2,good
2023-08-07 12:56:27+00:00,19.1,85.0,11.4,4.1,good
2023-08-07 13:09:47+00:00,19.0,86.0,11.4,4.4,good
2023-08-07 13:19:47+00:00,18.9,86.0,11.4,4.1,good
2023-08-07 13:29:47+00:00,20.3,86.0,11.4,4.1,good
2023-08-07 13:43:07+00:00,20.1,86.0,11.4,4.1,good
2023-08-07 13:53:07+00:00,19.5,87.0,11.4,4.1,good
2023-08-07 14:03:06+00:00,19.6,88.0,11.4,4.1,good
2023-08-07 14:13:06+00:00,18.9,89.0,11.4,4.1,good
2023-08-07 14:26:26+00:00,18.7,89.0,11.4,4.1,good
2023-08-07 14:36:26+00:00,18.8,90.0,11.4,5.4,good
2023-08-07 14:46:26+00:00,18.9,91.0,11.4,5.2,good
2023-08-07 14:59:46+00:00,17.5,93.0,11.4,4.9,good
2023-08-07 15:09:46+00:00,17.5,95.0,11.4,4.4,good
2023-08-07 15:19:46+00:00,18.0,96.0,11.4,5.9,good
2023-08-07 15:33:06+00:00,18.0,98.0,11.4,5.8,good
2023-08-07 15:43:06+00:00,17.9,99.0,11.4,5.9,good
2023-08-07 15:53:06+00:00,18.0,101.0,11.4,5.1,good
2023-08-07 16:06:26+00:00,18.0,101.0,11.4,5.3,good
2023-08-07 16:16:26+00:00,18.5,101.0,11.4,5.7,good
2023-08-07 16:26:26+00:00,17.7,102.0,11.4,4.8,good
2023-08-07 16:36:26+00:00,17.0,104.0,11.4,4.2,good
2023-08-07 16:49:45+00:00,16.0,107.0,11.4,4.8,good
2023-08-07 16:59:45+00:00,16.5,110.0,11.4,4.1,good
2023-08-07 17:09:45+00:00,17.1,114.0,11.4,4.0,good
2023-08-07 17:23:05+00:00,16.3,119.0,11.4,4.4,good
2023-08-07 17:33:05+00:00,16.5,122.0,11.4,4.1,good
2023-08-07 17:43:05+00:00,16.4,125.0,11.4,4.7,good
2023-08-07 17:56:25+00:00,16.5,130.0,11.4,4.4,good
2023-08-07 18:06:25+00:00,16.1,136.0,11.4,4.2,good
2023-08-07 18:16:25+00:00,16.4,137.0,11.4,3.9,good
2023-08-07 18:26:25+00:00,16.1,140.0,11.4,4.0,good
2023-08-07 18:39:45+00:00,16.0,141.0,11.4,3.6,good
2023-08-07 18:49:45+00:00,16.1,145.0,11.4,2.7,good
2023-08-07 18:59:44+00:00,16.2,146.0,11.4,1.8,good
2023-08-07 19:13:04+00:00,16.1,150.0,11.4,0.9,good
2023-08-07 20:53:04+00:00,15.5,174.0,11.4,0.6,error
2023-08-07 22:33:03+00:00,14.0,182.0,11.4,0.6,error
2023-08-08 00:46:22+00:00,13.8,185.0,11.3,0.6,error
2023-08-08 02:26:21+00:00,13.8,184.0,11.4,0.6,error
2023-08-08 04:06:21+00:00,13.2,184.0,11.4,3.7,error
2023-08-08 04:09:41+00:00,13.5,184.0,11.4,3.9,good
2023-08-08 04:19:41+00:00,13.2,184.0,11.4,4.1,good
2023-08-08 04:33:00+00:00,13.3,184.0,11.3,4.1,good
2023-08-08 04:43:01+00:00,13.5,184.0,11.4,4.1,good
2023-08-08 04:53:00+00:00,13.6,184.0,11.3,4.1,good
2023-08-08 05:06:20+00:00,13.5,184.0,11.4,4.1,good
2023-08-08 05:16:20+00:00,13.9,185.0,11.4,4.1,good
2023-08-08 05:26:20+00:00,14.5,185.0,11.4,4.1,good
2023-08-08 05:39:40+00:00,14.5,183.0,11.4,4.1,good
2023-08-08 05:49:40+00:00,15.3,185.0,11.4,4.1,good
2023-08-08 05:59:40+00:00,15.5,185.0,11.4,4.1,good
2023-08-08 06:09:40+00:00,15.5,184.0,11.4,4.1,good
2023-08-08 06:23:00+00:00,16.8,183.0,11.4,4.1,good
2023-08-08 06:33:00+00:00,19.0,183.0,11.4,4.1,error
2023-08-08 06:43:00+00:00,19.2,181.0,11.4,4.1,good
2023-08-08 06:56:19+00:00,20.2,169.0,11.4,4.1,good
2023-08-08 07:06:19+00:00,18.5,142.0,11.4,4.1,good
2023-08-08 07:16:19+00:00,19.1,130.0,11.4,4.1,good
2023-08-08 07:29:39+00:00,21.9,120.0,11.4,4.1,error
2023-08-08 07:39:39+00:00,23.3,114.0,11.4,6.0,good
2023-08-08 07:49:39+00:00,20.0,115.0,11.5,4.1,error
2023-08-08 07:59:39+00:00,18.8,111.0,11.4,4.1,good
2023-08-08 08:12:59+00:00,21.0,104.0,11.4,6.4,error
2023-08-08 08:22:59+00:00,19.6,111.0,11.4,4.1,good
2023-08-08 08:32:59+00:00,18.1,110.0,11.4,4.1,good
2023-08-08 08:46:19+00:00,24.1,99.0,11.5,6.2,error
2023-08-08 08:56:19+00:00,21.3,108.0,11.4,4.1,error
2023-08-08 09:06:19+00:00,18.5,109.0,11.4,4.1,error
2023-08-08 09:19:38+00:00,18.6,105.0,11.4,4.1,good
2023-08-08 09:29:38+00:00,18.1,103.0,11.4,5.2,good
2023-08-08 09:39:38+00:00,23.1,92.0,11.5,6.4,error
2023-08-08 09:52:58+00:00,25.8,98.0,11.5,5.8,error
2023-08-08 10:02:58+00:00,21.1,102.0,11.4,5.2,error
2023-08-08 10:12:58+00:00,26.1,91.0,11.5,6.3,error
2023-08-08 10:22:58+00:00,26.5,102.0,11.5,5.5,good
2023-08-08 10:36:18+00:00,24.4,104.0,11.5,6.3,error
2023-08-08 10:46:18+00:00,27.8,102.0,11.5,6.2,error
2023-08-08 10:56:18+00:00,26.7,105.0,11.5,6.2,good
2023-08-08 11:09:38+00:00,25.1,108.0,11.5,4.1,good
2023-08-08 11:19:38+00:00,21.6,107.0,11.5,5.5,error
2023-08-08 11:29:38+00:00,22.8,103.0,11.4,6.3,good
2023-08-08 11:42:57+00:00,26.1,98.0,11.5,4.1,error
2023-08-08 11:52:57+00:00,24.0,108.0,11.5,5.9,error
2023-08-08 12:02:57+00:00,20.5,105.0,11.4,6.4,error
2023-08-08 12:12:57+00:00,22.5,98.0,11.4,5.9,error
2023-08-08 12:26:17+00:00,21.3,92.0,11.4,4.3,good
2023-08-08 12:36:17+00:00,22.1,91.0,11.4,4.1,good
2023-08-08 12:46:17+00:00,22.3,90.0,11.4,4.1,good
2023-08-08 12:59:37+00:00,20.4,92.0,11.4,4.1,good
2023-08-08 13:09:37+00:00,20.2,93.0,11.4,5.5,good
2023-08-08 13:19:37+00:00,20.6,92.0,11.4,5.0,good
2023-08-08 13:32:57+00:00,20.0,92.0,11.4,4.4,good
2023-08-08 13:42:57+00:00,16.5,101.0,11.4,4.4,error
2023-08-08 13:52:57+00:00,17.6,100.0,11.4,4.6,good
2023-08-08 14:02:57+00:00,17.5,101.0,11.4,5.7,good
2023-08-08 14:16:17+00:00,17.1,102.0,11.4,4.4,good
2023-08-08 14:26:16+00:00,17.5,102.0,11.4,5.1,good
2023-08-08 14:36:16+00:00,17.7,102.0,11.4,4.4,good
