time,value_temp,value_hum,value_acid,value_PV,label
2023-08-06 10:44:17+00:00,0.0,135.0,6.3,2.3,good
2023-08-06 10:54:48+00:00,22.5,84.0,11.5,2.3,error
2023-08-06 11:04:47+00:00,22.5,83.0,11.5,2.3,good
2023-08-08 10:09:06+00:00,22.5,195.0,3.3,6.6,error
2023-08-08 10:19:06+00:00,24.7,0.0,8.1,4.2,error
2023-08-08 10:29:06+00:00,24.0,255.0,7.9,4.1,error
2023-08-08 10:42:26+00:00,24.8,255.0,7.8,4.2,good
2023-08-08 10:52:26+00:00,23.9,255.0,7.7,4.2,good
2023-08-08 11:02:26+00:00,23.9,255.0,7.6,4.1,good
2023-08-08 11:15:46+00:00,19.2,0.0,7.5,4.1,error
2023-08-08 11:25:46+00:00,23.3,0.0,7.7,4.2,error
2023-08-08 11:35:45+00:00,22.0,0.0,7.6,4.2,good
2023-08-08 11:49:05+00:00,23.7,0.0,7.6,4.2,error
2023-08-08 11:59:05+00:00,17.6,0.0,7.3,4.1,error
2023-08-08 12:09:05+00:00,17.7,0.0,7.6,4.1,good
2023-08-08 12:19:05+00:00,19.2,0.0,7.7,4.1,error
2023-08-08 12:32:25+00:00,19.2,0.0,7.8,4.1,good
2023-08-08 12:42:25+00:00,19.8,0.0,7.9,4.1,good
2023-08-08 12:52:25+00:00,19.4,0.0,7.9,4.1,good
2023-08-08 13:05:45+00:00,18.3,0.0,7.9,4.1,good
2023-08-08 13:15:45+00:00,19.4,0.0,8.0,4.1,good
2023-08-08 13:25:45+00:00,18.5,0.0,7.9,4.1,good
2023-08-08 13:39:05+00:00,12.7,1.0,7.7,4.1,error
2023-08-08 13:49:05+00:00,13.4,1.0,7.9,4.1,good
2023-08-08 13:59:04+00:00,14.9,1.0,7.8,4.1,error
2023-08-08 14:09:04+00:00,15.5,1.0,7.7,4.1,good
2023-08-08 14:22:24+00:00,15.7,1.0,7.7,4.1,good
2023-08-08 14:32:24+00:00,16.3,1.0,7.7,4.1,good
2023-08-08 14:42:24+00:00,16.9,1.0,7.7,4.1,good
2023-08-08 14:55:44+00:00,17.2,0.0,7.7,4.1,good
2023-08-08 15:05:44+00:00,17.4,0.0,7.7,4.1,good
2023-08-08 15:15:44+00:00,17.3,0.0,7.7,4.1,good
2023-08-08 15:29:04+00:00,17.3,1.0,7.7,4.1,good
2023-08-08 15:39:04+00:00,18.1,0.0,7.7,4.1,good
2023-08-08 15:49:04+00:00,17.8,0.0,7.8,4.1,good
2023-08-08 16:02:24+00:00,17.5,0.0,7.8,4.1,good
2023-08-08 16:12:23+00:00,17.1,0.0,7.8,4.1,good
2023-08-08 16:22:23+00:00,15.3,1.0,7.7,4.1,error
2023-08-08 16:32:23+00:00,14.6,1.0,7.7,4.1,good
2023-08-08 16:45:43+00:00,11.8,2.0,7.7,4.1,error
2023-08-08 16:55:43+00:00,11.6,1.0,7.6,4.1,good
2023-08-08 17:05:43+00:00,11.5,2.0,7.6,4.1,good
2023-08-08 17:19:03+00:00,11.3,2.0,7.4,4.1,good
2023-08-08 17:29:03+00:00,11.5,3.0,7.3,4.1,good
2023-08-08 17:39:03+00:00,11.5,2.0,7.3,4.1,good
2023-08-08 17:52:23+00:00,11.5,3.0,7.2,4.1,good
2023-08-08 18:02:23+00:00,11.3,2.0,7.2,4.1,good
2023-08-08 18:12:23+00:00,11.3,2.0,7.2,4.1,good
2023-08-08 18:22:23+00:00,11.4,2.0,7.1,4.0,good
2023-08-08 18:35:42+00:00,11.5,2.0,7.0,3.5,good
2023-08-08 18:45:42+00:00,11.5,3.0,7.0,3.3,good
2023-08-08 18:55:42+00:00,11.6,3.0,6.9,2.3,good
2023-08-08 19:09:02+00:00,11.6,2.0,6.8,1.3,good
2023-08-08 19:19:02+00:00,11.6,2.0,6.6,0.9,good
2023-08-08 20:59:02+00:00,11.1,9.0,6.2,0.7,error
2023-08-08 23:12:21+00:00,10.0,9.0,6.1,0.7,error
2023-08-09 00:52:20+00:00,10.1,9.0,5.8,0.7,error
2023-08-09 02:32:19+00:00,10.1,10.0,3.8,0.8,error
2023-08-09 04:12:19+00:00,10.3,10.0,3.7,3.9,error
2023-08-09 04:15:38+00:00,11.1,10.0,3.8,4.1,good
2023-08-09 04:28:58+00:00,11.5,10.0,3.9,4.1,good
2023-08-09 04:38:58+00:00,11.8,10.0,3.9,4.1,good
2023-08-09 04:48:58+00:00,12.1,10.0,4.0,4.1,good
2023-08-09 05:02:18+00:00,12.3,10.0,4.1,4.1,good
2023-08-09 05:12:18+00:00,12.6,10.0,4.5,4.1,good
2023-08-09 05:22:18+00:00,12.9,9.0,5.0,4.1,good
2023-08-09 05:35:38+00:00,13.2,9.0,5.2,4.1,good
2023-08-09 05:45:38+00:00,13.5,10.0,5.6,4.1,good
2023-08-09 06:05:38+00:00,18.6,9.0,6.2,4.1,error
2023-08-09 06:18:58+00:00,17.8,6.0,6.7,4.1,good
2023-08-09 06:28:58+00:00,19.5,5.0,7.0,4.1,error
2023-08-09 06:38:57+00:00,19.8,3.0,7.2,4.1,good
2023-08-09 06:52:17+00:00,20.0,0.0,7.2,4.1,good
2023-08-09 07:02:17+00:00,19.7,0.0,7.3,4.1,good
2023-08-09 07:12:17+00:00,21.7,0.0,7.3,4.2,error
2023-08-09 07:25:37+00:00,22.0,0.0,7.3,4.2,good
2023-08-09 07:35:37+00:00,24.0,0.0,7.3,4.2,error
2023-08-09 07:45:37+00:00,20.9,0.0,7.3,4.2,error
2023-08-09 07:55:37+00:00,24.4,0.0,7.2,4.2,error
2023-08-09 08:08:57+00:00,20.5,0.0,7.2,4.1,error
2023-08-09 08:18:57+00:00,23.0,0.0,7.2,4.1,error
2023-08-09 08:28:57+00:00,23.6,0.0,7.2,5.8,good
2023-08-09 08:42:17+00:00,24.6,255.0,7.2,6.0,error
2023-08-09 08:52:17+00:00,21.3,255.0,7.1,6.0,error
2023-08-09 09:02:16+00:00,22.6,255.0,7.2,6.1,good
2023-08-09 09:15:36+00:00,23.6,255.0,7.3,6.2,good
2023-08-09 09:25:36+00:00,23.8,255.0,7.3,6.2,good
2023-08-09 09:35:36+00:00,23.1,255.0,7.2,4.1,good
2023-08-09 09:45:36+00:00,21.0,255.0,7.2,4.1,error
2023-08-09 09:58:56+00:00,21.9,254.0,7.2,4.1,good
2023-08-09 10:08:56+00:00,22.0,255.0,7.2,6.2,good
2023-08-09 11:48:55+00:00,23.8,255.0,7.3,6.1,error
2023-08-09 11:58:55+00:00,21.1,255.0,7.1,6.1,error
2023-08-09 12:08:55+00:00,21.1,0.0,7.3,4.1,error
2023-08-09 12:22:15+00:00,20.6,0.0,7.5,4.1,good
2023-08-09 12:32:15+00:00,20.3,0.0,7.6,4.1,good
2023-08-09 12:42:15+00:00,20.4,0.0,7.6,4.1,good
2023-08-09 12:55:51+00:00,20.8,0.0,7.6,4.1,good
2023-08-09 13:05:35+00:00,19.5,0.0,7.6,4.1,good
2023-08-09 13:15:35+00:00,20.1,0.0,7.7,4.1,good
2023-08-09 13:28:55+00:00,18.5,0.0,7.6,4.1,error
2023-08-09 13:38:54+00:00,17.1,0.0,7.6,4.1,error
2023-08-09 13:48:56+00:00,18.5,0.0,7.7,4.1,error
2023-08-09 13:58:56+00:00,18.8,0.0,7.6,4.1,good
2023-08-09 14:12:15+00:00,20.1,0.0,7.6,4.1,good
2023-08-09 14:22:15+00:00,19.6,0.0,7.6,4.1,good
2023-08-09 14:32:15+00:00,18.3,0.0,7.6,4.1,good
2023-08-09 14:45:35+00:00,17.1,0.0,7.6,4.1,good
2023-08-09 14:55:35+00:00,15.1,1.0,7.6,4.1,error
2023-08-09 15:05:35+00:00,15.3,1.0,7.6,4.1,good
2023-08-09 15:18:55+00:00,16.6,0.0,7.6,4.1,good
2023-08-09 15:28:55+00:00,16.5,0.0,7.6,4.1,good
2023-08-09 15:38:55+00:00,16.8,0.0,7.6,4.1,good
2023-08-09 15:52:15+00:00,17.1,0.0,7.6,4.1,good
2023-08-09 16:02:15+00:00,16.4,0.0,7.6,4.1,good
2023-08-09 16:12:15+00:00,16.3,0.0,7.6,4.1,good
2023-08-09 16:22:15+00:00,16.1,1.0,7.6,4.1,good
