time,value_temp,value_hum,value_acid,value_PV,label
2023-06-25 12:56:42+00:00,0.0,87.0,8.2,0.6,good
2023-06-25 12:59:21+00:00,0.0,80.0,8.3,0.6,good
2023-06-25 13:00:21+00:00,0.0,78.0,8.5,0.4,good
2023-06-25 13:01:19+00:00,0.0,91.0,7.7,0.6,error
2023-06-25 13:02:07+00:00,0.0,83.0,8.1,0.6,error
2023-06-25 13:03:21+00:00,0.0,83.0,8.2,0.6,good
2023-06-25 13:04:17+00:00,0.0,92.0,7.7,0.6,error
2023-06-25 13:06:14+00:00,0.0,86.0,3.6,0.6,error
2023-06-25 13:07:02+00:00,0.0,85.0,3.6,0.6,good
2023-06-25 13:26:02+00:00,0.0,3.0,3.6,3.0,error
2023-06-25 13:49:38+00:00,0.0,4.0,3.6,2.9,error
2023-06-25 14:26:27+00:00,0.0,4.0,3.5,0.8,error
2023-06-25 14:55:39+00:00,24.1,3.0,3.5,0.8,error
2023-06-25 15:27:55+00:00,25.0,83.0,3.3,1.9,error
2023-06-25 15:40:00+00:00,25.0,85.0,3.3,1.7,good
2023-06-25 15:53:23+00:00,25.1,77.0,3.3,1.5,good
2023-06-25 16:03:27+00:00,25.0,85.0,3.3,1.7,good
2023-06-25 16:16:50+00:00,24.7,86.0,3.3,1.6,good
2023-06-25 16:26:53+00:00,24.6,87.0,3.3,2.8,good
2023-06-25 16:40:17+00:00,23.9,80.0,3.3,1.7,good
2023-06-25 16:53:40+00:00,24.0,85.0,3.3,2.5,good
2023-06-25 17:03:44+00:00,24.2,81.0,3.3,4.1,good
2023-06-25 17:17:07+00:00,25.6,77.0,3.2,4.1,error
2023-06-25 17:27:11+00:00,24.5,80.0,3.2,1.4,error
2023-06-25 17:40:34+00:00,23.3,84.0,3.3,1.4,error
2023-06-25 17:50:38+00:00,23.5,78.0,3.2,1.4,good
2023-06-25 18:04:01+00:00,23.6,86.0,3.2,1.3,good
2023-06-25 18:17:25+00:00,23.6,84.0,3.2,1.1,good
2023-06-25 18:27:28+00:00,23.7,82.0,3.2,1.3,good
2023-06-25 18:40:52+00:00,23.8,77.0,3.2,1.3,good
2023-06-25 18:50:55+00:00,23.8,80.0,3.2,1.1,good
2023-06-25 19:04:19+00:00,23.8,81.0,3.2,1.0,good
2023-06-25 19:17:44+00:00,23.8,84.0,3.3,0.9,good
2023-06-25 19:27:47+00:00,23.8,83.0,3.2,0.6,good
2023-06-25 19:41:11+00:00,23.8,98.0,3.2,0.7,good
2023-06-25 19:51:14+00:00,23.7,84.0,3.3,0.6,good
2023-06-25 20:04:38+00:00,23.7,78.0,3.2,0.6,good
2023-06-25 20:18:01+00:00,23.7,94.0,3.2,0.6,good
2023-06-25 20:28:05+00:00,23.6,84.0,3.2,0.6,good
2023-06-25 20:41:28+00:00,23.6,78.0,3.2,0.6,good
2023-06-25 20:51:32+00:00,23.6,80.0,3.2,0.6,good
2023-06-25 21:04:55+00:00,23.6,81.0,3.2,0.6,good
2023-06-25 21:14:58+00:00,23.6,80.0,3.2,0.6,good
2023-06-25 21:28:22+00:00,23.6,79.0,3.2,0.6,good
2023-06-25 21:41:45+00:00,23.6,83.0,3.2,0.4,good
2023-06-25 21:51:49+00:00,23.0,93.0,3.3,0.6,good
2023-06-25 22:05:12+00:00,23.0,96.0,3.3,0.4,good
2023-06-25 22:15:16+00:00,23.0,78.0,3.3,0.6,good
2023-06-25 22:28:39+00:00,23.0,79.0,3.3,0.6,good
2023-06-25 22:42:02+00:00,23.0,78.0,3.3,0.6,good
2023-06-25 22:52:06+00:00,23.0,77.0,3.3,0.6,good
2023-06-25 23:05:29+00:00,23.0,80.0,3.3,0.6,good
2023-06-25 23:15:33+00:00,23.0,78.0,3.2,0.6,good
2023-06-25 23:28:56+00:00,23.0,81.0,3.2,0.6,good
2023-06-25 23:39:00+00:00,23.0,81.0,3.3,0.6,good
2023-06-25 23:52:24+00:00,23.0,95.0,3.2,0.6,good
2023-06-26 00:05:47+00:00,23.0,80.0,3.2,0.6,good
2023-06-26 00:15:50+00:00,23.0,84.0,3.3,0.6,good
2023-06-26 00:29:14+00:00,23.0,77.0,3.3,0.6,good
2023-06-26 00:39:18+00:00,23.0,84.0,3.3,0.6,good
2023-06-26 00:52:41+00:00,23.0,79.0,3.3,0.6,good
2023-06-26 01:06:05+00:00,23.0,77.0,3.2,0.6,good
2023-06-26 01:16:10+00:00,22.9,85.0,3.3,0.6,good
2023-06-26 01:29:33+00:00,22.9,81.0,3.2,0.6,good
2023-06-26 01:39:37+00:00,22.9,80.0,3.3,0.6,good
2023-06-26 01:53:00+00:00,22.9,77.0,3.3,0.6,good
2023-06-26 02:03:04+00:00,22.9,84.0,3.2,0.6,good
2023-06-26 02:16:27+00:00,22.8,81.0,3.3,0.6,good
2023-06-26 02:29:51+00:00,22.8,83.0,3.3,0.6,good
2023-06-26 02:39:54+00:00,22.8,78.0,3.2,0.6,good
2023-06-26 02:53:18+00:00,22.8,81.0,3.3,0.6,good
2023-06-26 03:03:21+00:00,22.8,85.0,3.3,0.4,good
2023-06-26 03:16:45+00:00,22.8,86.0,3.3,0.6,good
2023-06-26 03:30:08+00:00,22.8,83.0,3.3,0.4,good
2023-06-26 03:40:12+00:00,22.8,78.0,3.3,1.3,good
2023-06-26 03:53:36+00:00,22.8,77.0,3.2,1.3,good
2023-06-26 04:03:39+00:00,22.8,77.0,3.3,1.3,good
2023-06-26 04:17:03+00:00,22.8,80.0,3.3,1.2,good
2023-06-26 04:30:26+00:00,22.8,78.0,3.3,1.4,good
2023-06-26 04:40:30+00:00,22.8,83.0,3.3,1.4,good
2023-06-26 04:53:53+00:00,22.9,76.0,3.3,1.4,good
2023-06-26 05:03:57+00:00,23.0,83.0,3.3,1.4,good
2023-06-26 05:17:20+00:00,23.0,82.0,3.3,1.4,good
2023-06-26 05:27:24+00:00,23.1,80.0,3.2,1.5,good
2023-06-26 05:40:47+00:00,23.1,80.0,3.2,1.5,good
2023-06-26 05:54:11+00:00,23.1,81.0,3.3,1.5,good
2023-06-26 06:04:15+00:00,23.2,80.0,3.3,1.5,good
2023-06-26 06:17:38+00:00,23.3,84.0,3.3,1.5,good
2023-06-26 06:27:41+00:00,23.4,77.0,3.3,1.6,good
2023-06-26 08:02:18+00:00,23.4,78.0,3.2,1.6,error
2023-06-26 08:14:34+00:00,23.6,80.0,3.2,1.7,good
2023-06-26 08:26:40+00:00,24.1,85.0,3.2,1.5,good
2023-06-26 08:40:03+00:00,24.5,76.0,3.2,1.7,good
2023-06-26 08:50:06+00:00,24.7,86.0,3.2,1.7,good
2023-06-26 09:03:30+00:00,24.8,85.0,3.2,1.7,good
2023-06-26 09:13:33+00:00,24.5,79.0,3.2,1.7,good
2023-06-26 09:34:56+00:00,24.5,89.0,3.2,0.6,error
2023-06-26 09:47:01+00:00,24.3,80.0,3.2,0.6,good
2023-06-26 10:00:24+00:00,24.1,84.0,3.2,0.4,good
2023-06-26 10:08:16+00:00,24.5,124.0,3.2,0.6,error
2023-06-26 10:20:21+00:00,24.1,96.0,3.2,0.6,error
2023-06-26 10:33:45+00:00,22.9,80.0,3.2,0.6,error
2023-06-26 10:55:57+00:00,23.8,226.0,3.2,0.6,error
2023-06-26 11:08:02+00:00,24.2,169.0,3.2,0.6,error
2023-06-26 14:00:42+00:00,24.2,69.0,8.8,3.9,error
2023-06-26 14:15:23+00:00,23.5,77.0,8.3,3.5,error
2023-06-26 14:23:31+00:00,23.4,82.0,8.1,2.7,good
2023-06-26 14:29:00+00:00,23.3,74.0,8.5,2.6,error
2023-06-26 14:45:12+00:00,23.2,77.0,8.3,2.1,error
2023-06-26 14:55:02+00:00,23.3,73.0,8.5,2.4,good
2023-06-26 15:05:02+00:00,23.4,83.0,3.2,2.4,error
2023-06-26 15:18:22+00:00,23.3,81.0,3.2,2.8,good
2023-06-26 15:28:22+00:00,23.4,80.0,3.2,2.9,good
2023-06-26 15:38:22+00:00,23.1,80.0,3.2,2.9,good
2023-06-26 15:51:42+00:00,23.1,81.0,3.2,3.3,good
2023-06-26 16:01:41+00:00,23.1,85.0,3.3,2.8,good
2023-06-26 16:11:41+00:00,23.2,82.0,3.2,2.8,good
2023-06-26 16:25:01+00:00,23.2,83.0,3.2,3.5,good
2023-06-26 16:35:01+00:00,23.3,82.0,3.2,3.4,good
2023-06-26 16:45:01+00:00,23.3,80.0,3.3,3.1,good
2023-06-26 16:55:01+00:00,23.3,81.0,3.2,3.2,good
2023-06-26 17:08:21+00:00,23.3,80.0,3.2,3.7,good
2023-06-26 17:18:21+00:00,23.3,81.0,3.2,3.6,good
2023-06-26 17:28:21+00:00,23.3,82.0,3.2,2.3,good
2023-06-26 17:41:40+00:00,23.3,80.0,3.2,1.5,good
2023-06-26 17:51:40+00:00,23.3,80.0,3.2,1.2,good
2023-06-26 18:01:40+00:00,23.3,4.0,3.2,1.4,error
2023-06-26 18:15:00+00:00,23.3,3.0,3.2,1.0,good
2023-06-26 18:25:00+00:00,23.3,4.0,3.2,0.9,good
2023-06-26 18:58:11+00:00,23.4,3.0,3.2,2.5,error
2023-06-26 19:08:05+00:00,23.5,4.0,3.2,2.6,good
2023-06-26 19:18:05+00:00,23.5,3.0,3.2,2.4,good
2023-06-26 19:31:25+00:00,23.5,4.0,3.2,2.4,good
2023-06-26 19:41:25+00:00,23.5,3.0,3.2,2.4,good
2023-06-26 19:51:24+00:00,23.1,4.0,3.2,2.4,good
2023-06-26 20:04:44+00:00,23.3,4.0,3.2,0.4,good
2023-06-26 21:44:44+00:00,23.2,4.0,3.2,0.6,error
2023-06-26 23:24:43+00:00,22.9,4.0,3.2,0.6,error
2023-06-27 01:38:02+00:00,22.8,4.0,3.2,0.6,error
2023-06-27 03:18:01+00:00,22.8,4.0,3.2,0.4,error
2023-06-27 04:58:01+00:00,22.8,4.0,3.2,2.6,error
2023-06-27 05:01:20+00:00,23.0,4.0,3.2,2.7,good
2023-06-27 05:11:20+00:00,23.0,3.0,3.2,2.7,good
2023-06-27 05:24:40+00:00,23.0,4.0,3.2,1.8,good
2023-06-27 05:34:40+00:00,23.0,3.0,3.2,1.9,good
2023-06-27 05:44:40+00:00,23.0,3.0,3.2,2.0,good
2023-06-27 05:58:00+00:00,23.0,4.0,3.3,1.7,good
2023-06-27 06:08:00+00:00,23.0,4.0,3.2,1.6,good
2023-06-27 06:18:00+00:00,23.0,3.0,3.2,1.5,good
2023-06-27 06:28:00+00:00,23.0,3.0,3.2,1.7,good
2023-06-27 06:41:20+00:00,23.0,3.0,3.2,1.6,good
2023-06-27 06:51:19+00:00,23.0,4.0,3.2,1.4,good
2023-06-27 07:01:19+00:00,23.1,3.0,3.2,1.7,good
2023-06-27 07:14:39+00:00,23.0,4.0,3.2,1.7,good
2023-06-27 07:24:39+00:00,23.1,3.0,3.2,2.2,good
2023-06-27 07:34:39+00:00,23.1,4.0,3.2,2.0,good
2023-06-27 07:47:59+00:00,23.1,3.0,3.2,2.3,good
2023-06-27 07:57:59+00:00,23.0,3.0,3.2,2.2,good
2023-06-27 08:07:59+00:00,23.1,4.0,3.2,3.2,good
2023-06-27 08:21:19+00:00,23.1,3.0,3.2,2.4,good
2023-06-27 08:31:19+00:00,23.1,3.0,3.2,2.9,good
2023-06-27 08:41:19+00:00,23.1,3.0,3.2,2.8,good
2023-06-27 08:51:19+00:00,23.1,4.0,3.2,2.0,good
2023-06-27 09:04:39+00:00,23.1,4.0,3.2,2.5,good
2023-06-27 09:14:38+00:00,23.1,3.0,3.2,2.4,good
2023-06-27 09:24:38+00:00,23.2,3.0,3.2,2.9,good
2023-06-27 09:37:58+00:00,23.1,4.0,3.2,2.8,good
2023-06-27 09:47:58+00:00,23.2,3.0,3.2,2.6,good
2023-06-27 09:57:58+00:00,23.3,4.0,3.2,2.2,good
2023-06-27 10:11:18+00:00,23.3,3.0,3.2,2.5,good
2023-06-27 10:21:18+00:00,23.3,3.0,3.2,2.5,good
2023-06-27 10:31:18+00:00,23.3,3.0,3.2,2.7,good
2023-06-27 10:41:18+00:00,23.4,3.0,3.2,1.5,good
2023-06-27 10:54:38+00:00,23.4,3.0,3.2,1.4,good
2023-06-27 11:04:38+00:00,23.5,3.0,3.2,1.5,good
2023-06-27 11:14:38+00:00,23.5,3.0,3.2,1.8,good
2023-06-27 11:27:58+00:00,23.5,3.0,3.2,1.8,good
2023-06-27 11:37:57+00:00,23.5,3.0,3.2,2.4,good
2023-06-27 11:47:57+00:00,23.5,3.0,3.2,2.8,good
2023-06-27 12:01:17+00:00,23.3,3.0,3.2,2.2,good
2023-06-27 12:11:17+00:00,23.4,3.0,3.2,2.0,good
2023-06-27 12:21:17+00:00,23.5,3.0,3.2,2.8,good
2023-06-27 12:31:17+00:00,22.4,3.0,3.2,4.1,error
2023-06-27 12:44:37+00:00,18.9,24.0,3.3,4.1,error
2023-06-27 12:54:37+00:00,18.5,24.0,3.3,4.1,good
2023-06-27 13:04:37+00:00,17.7,25.0,3.3,4.1,good
2023-06-27 13:17:57+00:00,17.3,30.0,3.4,4.1,good
2023-06-27 13:27:57+00:00,17.1,30.0,3.4,4.1,good
2023-06-27 13:37:57+00:00,17.0,31.0,3.4,4.1,good
2023-06-27 13:51:17+00:00,17.0,31.0,3.4,4.1,good
2023-06-27 14:01:16+00:00,17.1,31.0,3.4,4.1,good
2023-06-27 14:11:16+00:00,17.2,34.0,3.4,4.1,good
2023-06-27 14:24:36+00:00,17.2,34.0,3.4,4.1,good
2023-06-27 14:34:36+00:00,17.2,35.0,3.4,4.1,good
2023-06-27 14:44:36+00:00,17.3,35.0,3.4,4.1,good
2023-06-27 14:54:36+00:00,17.5,34.0,3.4,4.1,good
2023-06-27 15:07:56+00:00,17.4,34.0,3.4,4.1,good
2023-06-27 15:17:56+00:00,17.3,34.0,3.4,4.1,good
2023-06-27 15:27:56+00:00,17.3,34.0,3.4,4.1,good
2023-06-27 15:41:16+00:00,17.3,31.0,3.4,4.1,good
2023-06-27 15:51:16+00:00,17.3,30.0,3.4,4.1,good
2023-06-27 16:01:16+00:00,17.2,30.0,3.4,4.1,good
2023-06-27 16:14:36+00:00,17.0,29.0,3.4,4.1,good
2023-06-27 16:24:35+00:00,19.4,29.0,3.4,4.1,error
2023-06-27 16:34:35+00:00,19.8,24.0,3.4,4.1,good
2023-06-27 16:44:35+00:00,19.8,25.0,3.4,4.1,good
2023-06-27 16:57:55+00:00,19.8,26.0,3.4,4.1,good
2023-06-27 17:07:55+00:00,19.8,25.0,3.4,4.1,good
2023-06-27 17:17:55+00:00,19.8,24.0,3.4,4.1,good
2023-06-27 17:31:15+00:00,19.8,23.0,3.4,4.1,good
2023-06-27 17:41:15+00:00,19.7,24.0,3.4,4.1,good
2023-06-27 17:51:15+00:00,19.7,23.0,3.4,4.1,good
2023-06-27 18:04:35+00:00,19.7,24.0,3.4,4.1,good
2023-06-27 18:14:35+00:00,19.6,23.0,3.4,4.1,good
2023-06-27 18:24:35+00:00,19.6,23.0,3.4,4.1,good
2023-06-27 18:34:35+00:00,19.6,23.0,3.4,4.1,good
2023-06-27 18:47:55+00:00,19.6,25.0,3.4,4.1,good
